titles,category
국정원  선관위 투 개표  해킹에 취약  선관위  조작 불가능 ,Politics
 공공요금 안올려 한전 등 재무위기 태양광 등에  조원 낭비 ,Politics
 김행랑은 가짜뉴스  국힘  권인숙 막말 탓에 청문회 중단 ,Politics
 가짜뉴스  놓고 격돌     처벌 강화     방통위가 무슨 권한  ,Politics
신원식 장관       군사합의 최대한 빨리 효력 정지 추진 ,Politics
내일 총선이라면 어느당에 투표  국민의힘        민주당      ,Politics
민주  김행 후보자 배임 혐의로 고발  경영권 인수하며 회삿돈 이용 ,Politics
 신원식 임명철회  피켓에 국방부 국정감사 파행,Politics
김행  행방불명 된 적 없어  청문회장 CCTV 공개 요구,Politics
    일  수  오늘의 국회일정 ,Politics
키움증권   년간 당기순이익     이상 주주환원 ,Economic
삼성전자  오늘  분기 잠정실적 발표 조단위 영업익 복귀 기대,Economic
신한은행  인구보건복지협회에  억원 후원  난임부부 지원 ,Economic
롯데건설  본사에 AI시스템 연계  안전상황센터  개관,Economic
LG전자  가전 전장  쌍끌이 로  분기 역대급 영업익,Economic
카카오뱅크  그랩 손잡고 동남아 진출  핸드폰 보급률      ,Economic
GS건설 대표  검단 아파트 전면 재시공 계획 변함 없어 ,Economic
설탕도  소금도 올랐다   물가 상승률  년 만에 나란히 최고,Economic
엘베 스스로 타고 대화까지 진화하는 K서빙로봇,Economic
국채금리 급등에 비둘기 날리는 Fed 중동 전쟁이 변수로,Economic
   명이 당했다 모텔 돌며  몰카  설치  불법촬영한  간큰  중국인,Social
 인터넷언론사 심의한다는데 조선일보 기사는 어떻게  질문에 돌아온 황당한 답변,Social
무너진 외벽  산산조각 난 유리창 상가 건물 가스폭발로  쑥대밭 ,Social
신라대  캠퍼스에  반려견 전문 유치원  개설한다,Social
종로구  북악산 인왕산     대 명품숲에 선정 ,Social
경기신용보증재단  경기 기회UP 특례보증 시행,Social
 군인들 자부심 가졌으면  육군 병장 감동  알바생  찾았다,Social
     대입제도 바뀐다 통합 수능 내신  등급 개편,Social
나무도마 안에    만 명분 필로폰을 한 중 말레이 연합조직 검거,Social
부산시  의료폐기물 처리 불법행위 동물병원   곳 적발,Social
제네시스 GV   부분변경 쿠페 판매 개시  쿠페     만원부터,Culture
 맑은 가을 하늘  큰 일교차   출근길 내륙 안개 날씨 ,Culture
출판협회 한국출판공로상에 박민권 전 문체부 차관,Culture
 완연한 가을  큰 일교차 주의 동해안 강풍 주의 날씨 ,Culture
아침 최저기온     도  낮엔 따뜻 일교차      도  주의 ,Culture
많이 왔지만 다 온 건 아니다 SDV 고도화   시장 재기 과제 정의선 취임  년 ,Culture
 용서가 없다면 인류는 생존할 수 없다 ,Culture
 나를 가르치는 건 언제나 시간  김남조 시인 향년   세로 별세,Culture
국제유가   전쟁 쇼크  벗어나     달러 부근서 안정,World
바이든  속 뒤집히는  하마스 규탄 이스라엘    탄약 첫 도착 ,World
 이슬람 큰형님  빈 살만  팔레스타인 편에 선다    중동 해빙 물 건너간다,World
EU 외교수장  이   팔 외무장관  EU 긴급회의에 초청 ,World
    하마스 배후설  이란에  언제든 자금 재동결 가능 ,World
이스라엘 가자 사망자     명  인질    명 끌려갔다 ,World
 상원의원단 환대한 시진핑 내달 정상회담 기대감 솔솔,World
 모든 공립고교에 콘돔 무상 지급하라    캘리포니아 주지사는 거부했다 왜 ,World
머스크의 X에서 이 팔 전쟁 가짜뉴스  기승 ,World
가자지구 식량 곧 바닥 유엔  이스라엘  국제법 위반 ,World
 다음 댓글   대깨문  가리고  닭근혜     굥 은 방치 ,IT
카카오톡에서 와인 사면 GS  에서 받는다,IT
차 종합연구원 비티씨와  갱년기 개선 건기소재 개발 맞손,IT
 부산 이즈 레디  LGU  부국제 현장에 엑스포 유치 응원,IT
글로벌 협업 플랫폼 스윗  인당  달러의 파격적 플랜 제시한  Swit      출시,IT
 통신 사 자회사  알뜰폰 시장     점유 도입 취지 무색 ,IT
 업비트 독주 깨려면   누가 덜 못하나 경쟁  벗어나야  현장에서 ,IT
AWS  국내 기업 생성AI 활용 지원   억원 규모 프로그램 시행,IT
